INDEX,FLIGHTDATE,FLIGHTNO,ORIGIN,ORIGIN_STATION,DEPARTUREDATE_ZULU,STATION,DATE,REPORT_TYPE,SCH_DEPARTURE,VIS_METERS
3,20180101,2150,LAX,72295023174,2018-01-01 14:02:00+00:00,72295023174,2018-01-01 14:00:00+00:00,FM-16,MET12201/01/18 06:00:02 SPECI KLAX 011400Z 07005KT 2SM BR FEW001 FEW008 SCT160 10/09 A3013 RMK AO2 VIS 1 1/2V3 T01000089 $ (DMQ),3219.0
0,20180101,555,SFO,72494023234,2018-01-01 15:29:00+00:00,72494023234,2018-01-01 15:54:00+00:00,FM-16,MET08801/01/18 07:54:02 SPECI KSFO 011554Z 00000KT 6SM BR SCT004 08/07 A3023 RMK AO2 FIBI (SI),9656.0
1,20180101,418,LAX,72295023174,2018-01-01 16:41:00+00:00,72295023174,2018-01-01 16:53:00+00:00,FM-15,MET11701/01/18 08:53:02 METAR KLAX 011653Z 00000KT 3SM HZ FEW009 SCT160 BKN250 13/10 A3018 RMK AO2 SLP219 T01280100 $ (DMQ),4828.0
2,20180101,2422,ORD,72530094846,2018-01-02 04:41:00+00:00,72530094846,2018-01-02 04:51:00+00:00,FM-15,MET09401/01/18 22:51:02 METAR KORD 020451Z 26006KT 10SM CLR M21/M25 A3067 RMK AO2 SLP407 T12111250 $,16093.0
6,20180102,1032,IAH,72243012960,2018-01-02 15:35:00+00:00,72243012960,2018-01-02 15:53:00+00:00,FM-15,MET10101/02/18 09:53:02 METAR KIAH 021553Z 07007KT 10SM OVC070 M01/M12 A3062 RMK AO2 SLP370 T10111117 (JAG),16093.0
5,20180102,51,EWR,72502014734,2018-01-03 01:15:00+00:00,72502014734,2018-01-03 00:51:00+00:00,FM-15,MET09501/02/18 19:51:01 METAR KEWR 030051Z 24013KT 10SM SCT250 M07/M14 A3034 RMK AO2 SLP274 T10671144,16093.0
4,20180102,82,EWR,72502014734,2018-01-03 02:00:00+00:00,72502014734,2018-01-03 01:51:00+00:00,FM-15,MET09501/02/18 20:51:01 METAR KEWR 030151Z 24013KT 10SM SCT250 M07/M16 A3034 RMK AO2 SLP274 T10721156,16093.0
8,20180103,678,IAH,72243012960,2018-01-04 00:29:00+00:00,72243012960,2018-01-04 00:53:00+00:00,FM-15,MET09401/03/18 18:53:01 METAR KIAH 040053Z 00000KT 10SM FEW250 02/M06 A3034 RMK AO2 SLP275 T00221061,16093.0
10,20180103,563,ORD,72530094846,2018-01-04 01:15:00+00:00,72530094846,2018-01-04 00:51:00+00:00,FM-15,MET11501/03/18 18:51:01 METAR KORD 040051Z 33011G20KT 10SM OVC033 M11/M18 A3017 RMK AO2 SNB2353E24 SLP229 P0000 T11111178,16093.0
9,20180103,829,DEN,72565003017,2018-01-04 02:00:00+00:00,72565003017,2018-01-04 01:53:00+00:00,FM-15,MET09501/03/18 18:53:01 METAR KDEN 040153Z 25008KT 10SM SCT220 M02/M11 A3011 RMK AO2 SLP222 T10171111,16093.0
11,20180104,180,HKG,45007099999,2018-01-04 03:15:00+00:00,45007099999,2018-01-04 03:00:00+00:00,FM-15,MET064METAR VHHH 040300Z 11012KT 9999 FEW025 SCT040 21/15 Q1017 NOSIG=,9999.0
7,20180103,460,SFO,72494023234,2018-01-04 03:38:00+00:00,72494023234,2018-01-04 03:56:00+00:00,FM-15,MET12501/03/18 19:56:02 METAR KSFO 040356Z 16006KT 6SM -RA SCT044 BKN080 OVC110 12/09 A3001 RMK AO2 RAE22B52 SLP160 P0001 T01220094,9656.0
12,20180104,1990,ORD,72530094846,2018-01-04 15:05:00+00:00,72530094846,2018-01-04 14:51:00+00:00,FM-15,MET10601/04/18 08:51:02 METAR KORD 041451Z 34013KT 10SM FEW025 M16/M22 A3028 RMK AO2 SLP271 T11611217 51010 (JD),16093.0
