INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,DESTOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,DEST_UA_OBS,VIS_METERS
3,20180101,2150,SAN,72290023188,2018-01-01 15:51:00+00:00,72290023188,2018-01-01 15:51:00+00:00,FM-15,MET11801/01/18 07:51:02 METAR KSAN 011551Z 10003KT 1/16SM R09/0500V0600FT FG VV002 11/11 A3018 RMK AO2 SLP221 T01060106 (MF),0
0,20180101,555,SAN,72290023188,2018-01-01 17:20:00+00:00,72290023188,2018-01-01 17:20:00+00:00,FM-16,MET11101/01/18 09:20:02 SPECI KSAN 011720Z 00000KT 1/16SM R09/1400V2800FT FG VV002 12/12 A3020 RMK AO2 T01170117 (MF),0
1,20180101,418,SAN,72290023188,2018-01-01 17:20:00+00:00,72290023188,2018-01-01 17:20:00+00:00,FM-16,MET11101/01/18 09:20:02 SPECI KSAN 011720Z 00000KT 1/16SM R09/1400V2800FT FG VV002 12/12 A3020 RMK AO2 T01170117 (MF),0
2,20180101,2422,OMA,72550014942,2018-01-02 06:26:00+00:00,72550014942,2018-01-02 06:26:00+00:00,FM-16,MET11101/02/18 00:26:02 SPECI KOMA 020626Z 00000KT 1/8SM R14R/0700VP6000FT FZFG VV001 M24/M29 A3078 RMK AO2 T12441289,201
6,20180102,1032,PTY,78792099999,2018-01-02 19:00:00+00:00,78792099999,2018-01-02 19:00:00+00:00,FM-15,MET100METAR MPTO 021900Z 09003KT 0500 +TSRA SCT002 BKN012CB 25/23 Q1010 RWY WATER PATCHES TEMPO 3000 TSRA=,500
5,20180102,51,MAD,08221099999,2018-01-03 08:00:00+00:00,08221099999,2018-01-03 08:00:00+00:00,FM-15,MET089METAR LEMD 030800Z 18003KT 130V230 0200 R32L/0400N R32R/0250N FG VV001 08/08 Q1032 NOSIG=,200
4,20180102,82,DEL,42181099999,2018-01-03 15:01:00+00:00,42181099999,2018-01-03 15:01:00+00:00,FM-15,MET085METAR VIDP 031501Z 22004KT 0500 R28/1800 R29/2000 MIFG NSC 11/09 Q1015 BECMG 0350 FG=,500
9,20180103,829,YVR,71892099999,2018-01-04 05:00:00+00:00,71892099999,2018-01-04 05:00:00+00:00,FM-15,MET114METAR CYVR 040500Z 05003KT 030V100 1/4SM R08R/3000V5000FT/D R08L/2400FT/N FG OVC002 03/03 A3009 RMK FG6ST2 SLP192=,402
10,20180103,563,YVR,71892099999,2018-01-04 05:00:00+00:00,71892099999,2018-01-04 05:00:00+00:00,FM-15,MET114METAR CYVR 040500Z 05003KT 030V100 1/4SM R08R/3000V5000FT/D R08L/2400FT/N FG OVC002 03/03 A3009 RMK FG6ST2 SLP192=,402
8,20180103,678,YVR,71892099999,2018-01-04 05:00:00+00:00,71892099999,2018-01-04 05:00:00+00:00,FM-15,MET114METAR CYVR 040500Z 05003KT 030V100 1/4SM R08R/3000V5000FT/D R08L/2400FT/N FG OVC002 03/03 A3009 RMK FG6ST2 SLP192=,402
7,20180103,460,YVR,71892099999,2018-01-04 06:00:00+00:00,71892099999,2018-01-04 06:00:00+00:00,FM-15,MET106METAR CYVR 040600Z 36003KT 1/8SM R08R/1600V2200FT/N R08L/3000FT/N FG OVC002 02/02 A3008 RMK FG6ST2 SLP189=,201
12,20180104,1990,BZN,72679724132,2018-01-04 18:14:00+00:00,72679724132,2018-01-04 18:14:00+00:00,FM-16,MET09801/04/18 11:14:02 SPECI KBZN 041814Z 08003KT 1/4SM FZFG VV001 M12/M13 A3023 RMK AO2 T11171133 (BW),402
