INDEX,FLIGHTDATE,FLIGHTNO,DEST,DEST_STATION,IN_ZULU,STATION,DATE,REPORT_TYPE,ACT_ARRIVAL,VIS_METERS
1,20180101,418,SAN,72290023188,2018-01-01 18:37:00+00:00,72290023188,2018-01-01 18:51:00+00:00,FM-15,MET10701/01/18 10:51:02 METAR KSAN 011851Z 30007KT 6SM HZ BKN200 BKN250 17/12 A3018 RMK AO2 SLP220 T01670117 (MF),9656
0,20180101,555,SAN,72290023188,2018-01-01 19:27:00+00:00,72290023188,2018-01-01 19:51:00+00:00,FM-15,MET10401/01/18 11:51:02 METAR KSAN 011951Z 30010KT 7SM BKN200 BKN250 18/12 A3016 RMK AO2 SLP212 T01830117 (MF),11265
3,20180101,2150,SAN,72290023188,2018-01-01 19:52:00+00:00,72290023188,2018-01-01 19:51:00+00:00,FM-15,MET10401/01/18 11:51:02 METAR KSAN 011951Z 30010KT 7SM BKN200 BKN250 18/12 A3016 RMK AO2 SLP212 T01830117 (MF),11265
2,20180101,2422,OMA,72550014942,2018-01-02 06:03:00+00:00,72550014942,2018-01-02 05:52:00+00:00,FM-15,MET15001/01/18 23:52:02 METAR KOMA 020552Z 00000KT 10SM BCFG CLR M24/M29 A3078 RMK AO2 SLP455 4/003 FG OVR RIVER I6000 T12441289 11211 21256 411781289 58001,16093
6,20180102,1032,PTY,78792099999,2018-01-02 22:36:00+00:00,78792099999,2018-01-02 23:00:00+00:00,FM-15,MET085METAR MPTO 022300Z 00000KT 9999 FEW010 FEW020 SCT080 25/25 Q1009 REDZ RWY DAMP NOSIG=,9999
5,20180102,51,MAD,08221099999,2018-01-03 07:55:00+00:00,08221099999,2018-01-03 08:00:00+00:00,FM-15,MET089METAR LEMD 030800Z 18003KT 130V230 0200 R32L/0400N R32R/0250N FG VV001 08/08 Q1032 NOSIG=,200
8,20180103,678,YVR,71892099999,2018-01-04 05:30:00+00:00,71892099999,2018-01-04 05:44:00+00:00,FM-16,MET101SPECI CYVR 040544Z 01003KT 1/8SM R08R/1800FT/N R08L/2200FT/N FG OVC002 02/02 A3009 RMK FG6ST2 SLP192=,201
7,20180103,460,YVR,71892099999,2018-01-04 05:48:00+00:00,71892099999,2018-01-04 05:44:00+00:00,FM-16,MET101SPECI CYVR 040544Z 01003KT 1/8SM R08R/1800FT/N R08L/2200FT/N FG OVC002 02/02 A3009 RMK FG6ST2 SLP192=,201
9,20180103,829,YVR,71892099999,2018-01-04 05:56:00+00:00,71892099999,2018-01-04 06:00:00+00:00,FM-15,MET106METAR CYVR 040600Z 36003KT 1/8SM R08R/1600V2200FT/N R08L/3000FT/N FG OVC002 02/02 A3008 RMK FG6ST2 SLP189=,201
10,20180103,563,YVR,71892099999,2018-01-04 09:05:00+00:00,71892099999,2018-01-04 09:00:00+00:00,FM-15,MET101METAR CYVR 040900Z 03003KT 1/4SM R08R/2000FT/N R08L/2200FT/N FG OVC002 02/02 A3005 RMK FG6ST2 SLP177=,402
11,20180104,180,EWR,72502014734,2018-01-04 17:29:00+00:00,72502014734,2018-01-04 17:35:00+00:00,FM-16,MET15201/04/18 12:35:02 SPECI KEWR 041735Z 33018G27KT 1/4SM R04R/1800V2400FT SN BLSN FZFG VV006 M05/M06 A2932 RMK AO2 PK WND 33028/1653 P0014 T10501056 $ (DH),402
12,20180104,1990,BZN,72679724132,2018-01-04 19:15:00+00:00,72679724132,2018-01-04 19:13:00+00:00,FM-16,MET09801/04/18 12:13:02 SPECI KBZN 041913Z 00000KT 1/4SM FZFG VV002 M10/M11 A3021 RMK AO2 T11001106 (BW),402
20,20180105,1126,ANC,70273026451,2018-01-05 23:46:00+00:00,70273026451,2018-01-05 23:53:00+00:00,FM-15,MET14801/05/18 14:53:02 METAR PANC 052353Z 07004KT 1SM R07R/1200V1600FT BR VV002 M07/M08 A2950 RMK AO2 SLP992 4/007 I6000 T10721083 11072 21106 56016 (JC),1609
25,20180105,633,LAX,72295023174,2018-01-06 00:01:00+00:00,72295023174,2018-01-05 23:53:00+00:00,FM-15,MET13801/05/18 15:53:02 METAR KLAX 052353Z 28008KT 1/4SM R25L/1200VP6000FT FG OVC003 16/15 A3014 RMK AO2 SLP207 T01560150 10206 20156 56005 (MN),402
17,20180105,580,LAX,72295023174,2018-01-06 00:18:00+00:00,72295023174,2018-01-05 23:53:00+00:00,FM-15,MET13801/05/18 15:53:02 METAR KLAX 052353Z 28008KT 1/4SM R25L/1200VP6000FT FG OVC003 16/15 A3014 RMK AO2 SLP207 T01560150 10206 20156 56005 (MN),402
16,20180105,798,LAX,72295023174,2018-01-06 00:31:00+00:00,72295023174,2018-01-06 00:53:00+00:00,FM-15,MET11301/05/18 16:53:01 METAR KLAX 060053Z 25011KT 1/4SM R25L/2000V5500FT FG VV002 15/15 A3016 RMK AO2 SLP214 T01500150,402
15,20180105,1777,LAX,72295023174,2018-01-06 00:32:00+00:00,72295023174,2018-01-06 00:53:00+00:00,FM-15,MET11301/05/18 16:53:01 METAR KLAX 060053Z 25011KT 1/4SM R25L/2000V5500FT FG VV002 15/15 A3016 RMK AO2 SLP214 T01500150,402
