INDEX,FLIGHTDATE,FLIGHTNO,ORIGIN,ORIGIN_STATION,ORIGINOBSERVATIONTIME,STATION,DATE,REPORT_TYPE,ORIGIN_UA_OBS,VIS_METERS
3,20180101,2150,LAX,72295023174,2018-01-01 14:00:00+00:00,72295023174,2018-01-01 14:00:00+00:00,FM-16,MET12201/01/18 06:00:02 SPECI KLAX 011400Z 07005KT 2SM BR FEW001 FEW008 SCT160 10/09 A3013 RMK AO2 VIS 1 1/2V3 T01000089 $ (DMQ),3219.0
0,20180101,555,SFO,72494023234,2018-01-01 15:56:00+00:00,72494023234,2018-01-01 15:56:00+00:00,FM-15,MET10001/01/18 07:56:02 METAR KSFO 011556Z 00000KT 6SM BR SCT004 08/07 A3023 RMK AO2 SLP236 T00830067 (SI),9656.0
1,20180101,418,LAX,72295023174,2018-01-01 16:53:00+00:00,72295023174,2018-01-01 16:53:00+00:00,FM-15,MET11701/01/18 08:53:02 METAR KLAX 011653Z 00000KT 3SM HZ FEW009 SCT160 BKN250 13/10 A3018 RMK AO2 SLP219 T01280100 $ (DMQ),4828.0
2,20180101,2422,ORD,72530094846,2018-01-02 04:51:00+00:00,72530094846,2018-01-02 04:51:00+00:00,FM-15,MET09401/01/18 22:51:02 METAR KORD 020451Z 26006KT 10SM CLR M21/M25 A3067 RMK AO2 SLP407 T12111250 $,16093.0
6,20180102,1032,IAH,72243012960,2018-01-02 15:53:00+00:00,72243012960,2018-01-02 15:53:00+00:00,FM-15,MET10101/02/18 09:53:02 METAR KIAH 021553Z 07007KT 10SM OVC070 M01/M12 A3062 RMK AO2 SLP370 T10111117 (JAG),16093.0
5,20180102,51,EWR,72502014734,2018-01-03 01:51:00+00:00,72502014734,2018-01-03 01:51:00+00:00,FM-15,MET09501/02/18 20:51:01 METAR KEWR 030151Z 24013KT 10SM SCT250 M07/M16 A3034 RMK AO2 SLP274 T10721156,16093.0
4,20180102,82,EWR,72502014734,2018-01-03 02:51:00+00:00,72502014734,2018-01-03 02:51:00+00:00,FM-15,MET10101/02/18 21:51:02 METAR KEWR 030251Z 24014KT 10SM SCT250 M08/M16 A3034 RMK AO2 SLP273 T10781161 56003,16093.0
8,20180103,678,IAH,72243012960,2018-01-04 00:53:00+00:00,72243012960,2018-01-04 00:53:00+00:00,FM-15,MET09401/03/18 18:53:01 METAR KIAH 040053Z 00000KT 10SM FEW250 02/M06 A3034 RMK AO2 SLP275 T00221061,16093.0
10,20180103,563,ORD,72530094846,2018-01-04 01:51:00+00:00,72530094846,2018-01-04 01:51:00+00:00,FM-15,MET09501/03/18 19:51:01 METAR KORD 040151Z 31012KT 10SM OVC037 M12/M17 A3018 RMK AO2 SLP234 T11171172,16093.0
9,20180103,829,DEN,72565003017,2018-01-04 02:53:00+00:00,72565003017,2018-01-04 02:53:00+00:00,FM-15,MET10101/03/18 19:53:02 METAR KDEN 040253Z 25009KT 10SM SCT220 M01/M11 A3012 RMK AO2 SLP228 T10111106 53007,16093.0
11,20180104,180,HKG,45007099999,2018-01-04 03:00:00+00:00,45007099999,2018-01-04 03:00:00+00:00,FM-15,MET064METAR VHHH 040300Z 11012KT 9999 FEW025 SCT040 21/15 Q1017 NOSIG=,9999.0
7,20180103,460,SFO,72494023234,2018-01-04 03:56:00+00:00,72494023234,2018-01-04 03:56:00+00:00,FM-15,MET12501/03/18 19:56:02 METAR KSFO 040356Z 16006KT 6SM -RA SCT044 BKN080 OVC110 12/09 A3001 RMK AO2 RAE22B52 SLP160 P0001 T01220094,9656.0
12,20180104,1990,ORD,72530094846,2018-01-04 15:51:00+00:00,72530094846,2018-01-04 15:51:00+00:00,FM-15,MET10001/04/18 09:51:02 METAR KORD 041551Z 35014KT 10SM FEW025 M15/M22 A3030 RMK AO2 SLP278 T11501217 (JD),16093.0
20,20180105,1126,DEN,72565003017,2018-01-05 18:53:00+00:00,72565003017,2018-01-05 18:53:00+00:00,FM-15,MET10701/05/18 11:53:02 METAR KDEN 051853Z 00000KT 10SM SCT120 BKN220 13/M13 A3013 RMK AO2 SLP188 T01281128 (MAD),16093.0
17,20180105,580,ORD,72530094846,2018-01-05 19:51:00+00:00,72530094846,2018-01-05 19:51:00+00:00,FM-15,MET10001/05/18 13:51:02 METAR KORD 051951Z 34012KT 10SM FEW035 M12/M21 A3040 RMK AO2 SLP310 T11171211 (JD),16093.0
15,20180105,1777,IAH,72243012960,2018-01-05 20:53:00+00:00,72243012960,2018-01-05 20:53:00+00:00,FM-15,MET11101/05/18 14:53:02 METAR KIAH 052053Z VRB05KT 10SM FEW075 SCT110 13/00 A3034 RMK AO2 SLP273 T01330000 56027 (WS),16093.0
25,20180105,633,DEN,72565003017,2018-01-05 21:53:00+00:00,72565003017,2018-01-05 21:53:00+00:00,FM-15,MET11401/05/18 14:53:02 METAR KDEN 052153Z 00000KT 10SM FEW095 BKN130 BKN220 12/M11 A3011 RMK AO2 SLP185 T01171106 (JTH),16093.0
16,20180105,798,SJD,76405699999,2018-01-05 22:45:00+00:00,76405699999,2018-01-05 22:45:00+00:00,FM-15,MET048METAR MMSD 052245Z 10012KT 12SM SKC 25/16 A3002=,19312.0
22,20180105,788,SFO,72494023234,2018-01-05 22:56:00+00:00,72494023234,2018-01-05 22:56:00+00:00,FM-15,MET11501/05/18 14:56:02 METAR KSFO 052256Z 29013G17KT 10SM FEW005 BKN015 BKN023 14/12 A3019 RMK AO2 SLP222 T01390117 (MP),16093.0
27,20180105,52,IAD,72403093738,2018-01-05 23:52:00+00:00,72403093738,2018-01-05 23:52:00+00:00,FM-15,MET12101/05/18 18:52:02 METAR KIAD 052352Z 29014G23KT 10SM FEW050 M10/M22 A3022 RMK AO2 SLP239 T11001217 11072 21106 51018 (JH),16093.0
29,20180106,99,MEL,72204012838,2018-01-06 00:00:00+00:00,72204012838,2018-01-05 23:53:00+00:00,FM-15,MET11401/05/18 18:53:02 METAR KMLB 052353Z 35005KT 10SM CLR 09/M01 A3034 RMK AO2 SLP275 T00891011 10128 20089 53015 (RK),16093.0
28,20180106,840,SYD,94767099999,2018-01-06 00:00:00+00:00,94767099999,2018-01-06 00:00:00+00:00,FM-15,MET051METAR YSSY 060000Z 04008KT CAVOK 28/21 Q1016 NOSIG=,9900.0
14,20180105,1216,DEN,72565003017,2018-01-06 02:53:00+00:00,72565003017,2018-01-06 02:53:00+00:00,FM-15,MET10701/05/18 19:53:02 METAR KDEN 060253Z 21006KT 10SM FEW150 FEW220 01/M09 A3016 RMK AO2 SLP222 T00061094 51010,16093.0
26,20180105,1257,SFO,72494023234,2018-01-06 03:56:00+00:00,72494023234,2018-01-06 03:56:00+00:00,FM-15,MET12501/05/18 19:56:02 METAR KSFO 060356Z 30003KT 7SM -RA SCT016 BKN024 OVC033 12/11 A3020 RMK AO2 RAE05B53 SLP227 P0000 T01220106,11265.0
13,20180105,534,HNL,91182022521,2018-01-06 07:53:00+00:00,91182022521,2018-01-06 07:53:00+00:00,FM-15,MET10001/05/18 21:53:02 METAR PHNL 060753Z 02004KT 10SM FEW026 FEW039 24/14 A3018 RMK AO2 SLP219 T02390144,16093.0
19,20180105,1147,KOA,91197521510,2018-01-06 07:53:00+00:00,91197521510,2018-01-06 07:53:00+00:00,FM-15,MET09201/05/18 21:53:02 METAR PHKO 060753Z 00000KT 10SM CLR 22/13 A3012 RMK AO2 SLP199 T02170133 $,16093.0
18,20180105,1292,LIH,91165022536,2018-01-06 07:53:00+00:00,91165022536,2018-01-06 07:53:00+00:00,FM-15,MET09801/05/18 21:53:02 METAR PHLI 060753Z 05011KT 10SM BKN035 23/17 A3022 RMK AO2 SLP231 LAST T02280172,16093.0
21,20180105,1706,ITO,91285021504,2018-01-06 08:53:00+00:00,91285021504,2018-01-06 08:53:00+00:00,FM-15,MET11701/05/18 22:53:02 METAR PHTO 060853Z 23006KT 10SM FEW036 OVC050 19/14 A3020 RMK AO2 SLP225 60000 T01940144 50004 TSNO,16093.0
23,20180105,1281,OGG,91190022516,2018-01-06 08:54:00+00:00,91190022516,2018-01-06 08:54:00+00:00,FM-15,MET09901/05/18 22:54:02 METAR PHOG 060854Z 07011G20KT 10SM CLR 22/15 A3017 RMK AO2 SLP220 T02170150 51007,16093.0
24,20180105,1110,OGG,91190022516,2018-01-06 09:54:00+00:00,91190022516,2018-01-06 09:54:00+00:00,FM-15,MET10501/05/18 23:54:02 METAR PHOG 060954Z 04013KT 10SM CLR 22/16 A3017 RMK AO2 SLP221 T02170161 402780150 TSNO,16093.0
30,20180106,582,PHX,72278023183,2018-01-06 13:51:00+00:00,72278023183,2018-01-06 13:51:00+00:00,FM-15,MET09901/06/18 06:51:02 METAR KPHX 061351Z 11005KT 10SM SCT200 12/00 A3013 RMK AO2 SLP196 T01170000 (RLK),16093.0
31,20180106,30,EWR,72502014734,2018-01-06 22:51:00+00:00,72502014734,2018-01-06 22:51:00+00:00,FM-15,MET10301/06/18 17:51:02 METAR KEWR 062251Z 29019G23KT 10SM CLR M12/M24 A3033 RMK AO2 SLP271 T11171239 $ (GAH),16093.0
32,20180106,106,IAD,72403093738,2018-01-06 22:52:00+00:00,72403093738,2018-01-06 22:52:00+00:00,FM-15,MET12101/06/18 17:52:02 METAR KIAD 062252Z 32011G19KT 10SM FEW055 M10/M22 A3048 RMK AO2 PK WND 31027/2210 SLP328 T11001217 (JH),16093.0
37,20180107,521,ORD,72530094846,2018-01-07 18:51:00+00:00,72530094846,2018-01-07 18:51:00+00:00,FM-15,MET11901/07/18 12:51:02 METAR KORD 071851Z 22015G22KT 9SM -SN OVC037 M03/M09 A3003 RMK AO2 SLP182 SNB38 P0000 T10281094 (BLH),14484.0
34,20180107,1610,SFO,72494023234,2018-01-07 20:56:00+00:00,72494023234,2018-01-07 20:56:00+00:00,FM-15,MET11801/07/18 12:56:02 METAR KSFO 072056Z 05004KT 10SM FEW010 BKN150 OVC180 11/08 A3009 RMK AO2 SLP189 T01110083 58021 (AK),16093.0
35,20180107,1134,DEN,72565003017,2018-01-07 22:53:00+00:00,72565003017,2018-01-07 22:53:00+00:00,FM-15,MET11401/07/18 15:53:02 METAR KDEN 072253Z 13010KT 10SM FEW070 FEW140 FEW200 08/M04 A3003 RMK AO2 SLP155 T00831039 (JTH),16093.0
36,20180107,1747,IAH,72243012960,2018-01-08 03:53:00+00:00,72243012960,2018-01-08 03:53:00+00:00,FM-15,MET16401/07/18 21:53:02 METAR KIAH 080353Z 15008KT 7SM -RA SCT030 BKN065 BKN120 17/16 A2990 RMK AO2 LTG DSNT SW-N RAE19B41 SLP124 CB DSNT SE AND W-N MOV E P0003 T01670161,11265.0
33,20180107,2170,DEN,72565003017,2018-01-08 05:53:00+00:00,72565003017,2018-01-08 05:53:00+00:00,FM-15,MET11001/07/18 22:53:02 METAR KDEN 080553Z 16009KT 10SM CLR M03/M07 A3008 RMK AO2 SLP190 T10281067 10028 21028 58001,16093.0
38,20180108,588,ORD,72530094846,2018-01-08 14:51:00+00:00,72530094846,2018-01-08 14:51:00+00:00,FM-15,MET10501/08/18 08:51:02 METAR KORD 081451Z 28011KT 7SM OVC013 01/M02 A3000 RMK AO2 SLP164 T00061022 52024 (BLH),11265.0
