Unnamed: 0,FLIGHTDATE,FLIGHTNO,ORIGIN,DEST,DEPARTUREDATE_ZULU,ARRIVALDATE_ZULU,ORIGINOBSERVATIONTIME,DESTOBSERVATIONTIME,OUT_ZULU,IN_ZULU,DEST_STATION,ORIGIN_STATION
3,20180101,2150,LAX,SAN,2018-01-01 14:02:00+00:00,2018-01-01 15:01:00+00:00,2018-01-01 14:00:00+00:00,2018-01-01 15:51:00+00:00,2018-01-01 19:01:00+00:00,2018-01-01 19:52:00+00:00,72290023188,72295023174
0,20180101,555,SFO,SAN,2018-01-01 15:29:00+00:00,2018-01-01 17:03:00+00:00,2018-01-01 15:56:00+00:00,2018-01-01 17:20:00+00:00,2018-01-01 15:18:00+00:00,2018-01-01 19:27:00+00:00,72290023188,72494023234
1,20180101,418,LAX,SAN,2018-01-01 16:41:00+00:00,2018-01-01 17:45:00+00:00,2018-01-01 16:53:00+00:00,2018-01-01 17:20:00+00:00,2018-01-01 16:39:00+00:00,2018-01-01 18:37:00+00:00,72290023188,72295023174
2,20180101,2422,ORD,OMA,2018-01-02 04:41:00+00:00,2018-01-02 06:14:00+00:00,2018-01-02 04:51:00+00:00,2018-01-02 06:26:00+00:00,2018-01-02 04:44:00+00:00,2018-01-02 06:03:00+00:00,72550014942,72530094846
6,20180102,1032,IAH,PTY,2018-01-02 15:35:00+00:00,2018-01-02 19:40:00+00:00,2018-01-02 15:53:00+00:00,2018-01-02 19:00:00+00:00,2018-01-02 15:41:00+00:00,2018-01-02 22:36:00+00:00,78792099999,72243012960
5,20180102,51,EWR,MAD,2018-01-03 01:15:00+00:00,2018-01-03 08:25:00+00:00,2018-01-03 01:51:00+00:00,2018-01-03 08:00:00+00:00,2018-01-03 01:14:00+00:00,2018-01-03 07:55:00+00:00,08221099999,72502014734
4,20180102,82,EWR,DEL,2018-01-03 02:00:00+00:00,2018-01-03 15:30:00+00:00,2018-01-03 02:51:00+00:00,2018-01-03 15:01:00+00:00,2018-01-03 03:39:00+00:00,,42181099999,72502014734
9,20180103,829,DEN,YVR,2018-01-04 02:00:00+00:00,2018-01-04 05:05:00+00:00,2018-01-04 02:53:00+00:00,2018-01-04 05:00:00+00:00,2018-01-04 03:00:00+00:00,2018-01-04 05:56:00+00:00,71892099999,72565003017
10,20180103,563,ORD,YVR,2018-01-04 01:15:00+00:00,2018-01-04 05:55:00+00:00,2018-01-04 01:51:00+00:00,2018-01-04 05:00:00+00:00,2018-01-04 01:26:00+00:00,2018-01-04 09:05:00+00:00,71892099999,72530094846
8,20180103,678,IAH,YVR,2018-01-04 00:29:00+00:00,2018-01-04 05:29:00+00:00,2018-01-04 00:53:00+00:00,2018-01-04 05:00:00+00:00,2018-01-04 00:26:00+00:00,2018-01-04 05:30:00+00:00,71892099999,72243012960
7,20180103,460,SFO,YVR,2018-01-04 03:38:00+00:00,2018-01-04 06:00:00+00:00,2018-01-04 03:56:00+00:00,2018-01-04 06:00:00+00:00,2018-01-04 03:40:00+00:00,2018-01-04 05:48:00+00:00,71892099999,72494023234
12,20180104,1990,ORD,BZN,2018-01-04 15:05:00+00:00,2018-01-04 18:30:00+00:00,2018-01-04 15:51:00+00:00,2018-01-04 18:14:00+00:00,2018-01-04 15:05:00+00:00,2018-01-04 19:15:00+00:00,72679724132,72530094846
11,20180104,180,HKG,EWR,2018-01-04 03:15:00+00:00,2018-01-04 18:45:00+00:00,2018-01-04 03:00:00+00:00,2018-01-04 18:51:00+00:00,2018-01-04 03:24:00+00:00,2018-01-04 17:29:00+00:00,72502014734,
20,20180105,1126,DEN,ANC,2018-01-05 18:18:00+00:00,2018-01-06 00:04:00+00:00,2018-01-05 18:53:00+00:00,2018-01-06 00:26:00+00:00,2018-01-05 18:16:00+00:00,2018-01-05 23:46:00+00:00,70273026451,72565003017
22,20180105,788,SFO,LAX,2018-01-05 22:58:00+00:00,2018-01-06 00:40:00+00:00,2018-01-05 22:56:00+00:00,2018-01-06 00:53:00+00:00,2018-01-05 22:58:00+00:00,2018-01-06 00:43:00+00:00,72295023174,72494023234
